Feature,Duration,ATE,Type
Solar Wind Analyser temperature(DegC),75,0.0,IBS_N
Out Board Sensor Temperature(Deg C),75,-0.7827724198131862,IBS_N
In Board Sensor Temperature(Deg C),75,0.4287752001874125,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),75,0.0,IBS_N
Heater Dutycycle,75,-0.0023370328181042,IBS_N
Search Coil Magnetometer's Temperature(Deg C),75,0.2127007960536162,IBS_N
Solar Array's Angle(Deg),75,0.0,IBS_N
High Gain Antenna Azimuth(Deg),75,0.0,IBS_N
High Gain Antenna elevation(Deg),75,0.0,IBS_N
Radial Distance from Sun(AU),80,-0.1730104844680596,IBS_N
Electronic Box Temperature(DegC),80,0.1729916005193743,IBS_N
Solar Wind Analyser temperature(DegC),80,0.0,IBS_N
Out Board Sensor Temperature(Deg C),80,-0.6642129351504387,IBS_N
In Board Sensor Temperature(Deg C),80,0.2629677889189481,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),80,0.0,IBS_N
Heater Dutycycle,80,0.0102098067494096,IBS_N
Search Coil Magnetometer's Temperature(Deg C),80,-0.0252617281725394,IBS_N
Solar Array's Angle(Deg),80,0.0,IBS_N
High Gain Antenna Azimuth(Deg),80,0.0,IBS_N
High Gain Antenna elevation(Deg),80,0.0,IBS_N
Radial Distance from Sun(AU),85,-0.2134802739930098,IBS_N
Electronic Box Temperature(DegC),85,0.2535111183580689,IBS_N
Solar Wind Analyser temperature(DegC),85,0.0,IBS_N
Out Board Sensor Temperature(Deg C),85,-0.5949214514634137,IBS_N
In Board Sensor Temperature(Deg C),85,0.2841332359052252,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),85,0.0,IBS_N
Heater Dutycycle,85,0.0021501282995833,IBS_N
Search Coil Magnetometer's Temperature(Deg C),85,0.430067644147409,IBS_N
Solar Array's Angle(Deg),85,0.0,IBS_N
High Gain Antenna Azimuth(Deg),85,0.0,IBS_N
High Gain Antenna elevation(Deg),85,0.0,IBS_N
Radial Distance from Sun(AU),90,-0.2629911692837677,IBS_N
Electronic Box Temperature(DegC),90,0.2784117317726639,IBS_N
Solar Wind Analyser temperature(DegC),90,0.0,IBS_N
Out Board Sensor Temperature(Deg C),90,-0.7161617680857985,IBS_N
In Board Sensor Temperature(Deg C),90,0.4467646173820537,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),90,0.0,IBS_N
Heater Dutycycle,90,0.0085776343054987,IBS_N
Search Coil Magnetometer's Temperature(Deg C),90,0.4695436988758896,IBS_N
Solar Array's Angle(Deg),90,0.0,IBS_N
High Gain Antenna Azimuth(Deg),90,0.0,IBS_N
High Gain Antenna elevation(Deg),90,0.0,IBS_N
Radial Distance from Sun(AU),95,-0.3586290309271266,IBS_N
Electronic Box Temperature(DegC),95,0.0588475936679971,IBS_N
Solar Wind Analyser temperature(DegC),95,0.0,IBS_N
Out Board Sensor Temperature(Deg C),95,-0.7839359167026508,IBS_N
In Board Sensor Temperature(Deg C),95,0.8074156655722273,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),95,0.0,IBS_N
Heater Dutycycle,95,0.0011908406592672,IBS_N
Search Coil Magnetometer's Temperature(Deg C),95,0.3932261823022159,IBS_N
Solar Array's Angle(Deg),95,0.0,IBS_N
High Gain Antenna Azimuth(Deg),95,0.0,IBS_N
High Gain Antenna elevation(Deg),95,0.0,IBS_N
Radial Distance from Sun(AU),100,-0.468428144741139,IBS_N
Electronic Box Temperature(DegC),100,0.1946403993448812,IBS_N
Solar Wind Analyser temperature(DegC),100,0.0,IBS_N
Out Board Sensor Temperature(Deg C),100,-0.8090657697235959,IBS_N
In Board Sensor Temperature(Deg C),100,0.7273649299107686,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),100,0.0,IBS_N
Heater Dutycycle,100,-0.0034489978544376,IBS_N
Search Coil Magnetometer's Temperature(Deg C),100,0.4437085296112532,IBS_N
Solar Array's Angle(Deg),100,0.0,IBS_N
High Gain Antenna Azimuth(Deg),100,0.0,IBS_N
High Gain Antenna elevation(Deg),100,0.0,IBS_N
Radial Distance from Sun(AU),105,-0.5702143472932883,IBS_N
Electronic Box Temperature(DegC),105,0.2943656991759421,IBS_N
Solar Wind Analyser temperature(DegC),105,0.0,IBS_N
Out Board Sensor Temperature(Deg C),105,-0.9069798090589708,IBS_N
In Board Sensor Temperature(Deg C),105,0.5549111748026145,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),105,0.0,IBS_N
Heater Dutycycle,105,-0.0071565289211612,IBS_N
Search Coil Magnetometer's Temperature(Deg C),105,0.3793647567313017,IBS_N
Solar Array's Angle(Deg),105,0.0,IBS_N
High Gain Antenna Azimuth(Deg),105,0.0,IBS_N
High Gain Antenna elevation(Deg),105,0.0,IBS_N
Radial Distance from Sun(AU),110,-0.6542307521582951,IBS_N
Electronic Box Temperature(DegC),110,0.2731358509496243,IBS_N
Solar Wind Analyser temperature(DegC),110,0.0,IBS_N
